Distance (m),u (m/s),res_time (s),T (K),P (Pa),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
4.15e-06,0.014497666060026575,0.0006371504682771036,2967.6618973738296,101324.99999999999,0.27958913997242996,0.06583353795707891,0.00247627635277816,0.000788530819271591,0.017110787677412063,0.22480215469060424,8.931973486523252e-07,1.0647556100177005e-07,9.481038682604366e-11,2.6373735844315015e-11,4.3149777172047165e-11,3.955340347339075e-12,8.896513676074873e-11,2.3583350329258357e-11,0.24596680441236193,0.026964102481789924,1.4434322726371094e-06,3.12937290135915e-08,3.017666216923557e-12,7.555082220276163e-14,1.9609014767546108e-13,6.887044703741766e-15,1.7866812004894436e-13,2.7995249681198694e-17,1.03422121672213e-17,2.1746679493609233e-21,9.569739608892033e-23,2.2389476755712894e-13,1.3704543801938024e-13,9.1198461440522e-16,3.045565733713897e-33,9.473539380913703e-34,3.902873591376464e-34,4.338497342604582e-34,8.612135642585745e-39,9.904826533863177e-31,4.0300708512965914e-35,6.034000162677398e-39,2.2097012202680214e-34,2.973033684110925e-36,1.4044671254655418e-34,1.411533006514269e-39,1.0614996537669204e-46,6.0948954844123236e-40,5.23090761594513e-37,4.580680483215372e-35,5.512337358179814e-36,3.608523714341598e-32,0.13646619095268767,2.411760308104538e-32,1.0655308276846714e-33,1.116681131371996e-17,7.882956219551398e-19
4.175000000000001e-06,0.014493344129578334,0.0006388753979949443,2966.495334821293,101325.00000000003,0.2795232084742569,0.06597202640205038,0.0024852198005592724,0.0007914717241761164,0.017130041447445597,0.2247373545513129,8.943553625985836e-07,1.0637588047513945e-07,9.423520472154474e-11,2.613471042816311e-11,4.265926625694291e-11,3.911258663649339e-12,8.785367927992263e-11,2.3235424672563186e-11,0.24593608779447562,0.026968890814925893,1.4412181667748938e-06,3.113639006062735e-08,2.9948221171899335e-12,7.484056855322204e-14,1.9402148982511803e-13,6.770669699771603e-15,1.755409564310469e-13,2.7469858697407423e-17,1.0131109042545705e-17,2.1180819733755117e-21,9.328610336726898e-23,2.207881577048142e-13,1.3525152985064823e-13,8.945503973511952e-16,3.0399116361296955e-33,9.420691825278977e-34,3.868104201749285e-34,4.2903489992785514e-34,8.623340342374446e-39,9.904113908274756e-31,4.0218041918044237e-35,6.005277942178513e-39,2.199247215352641e-34,2.9371596286353348e-36,1.3858527405848563e-34,1.398328627415324e-39,1.0487875886059866e-46,5.9993805109507085e-40,5.157532428941341e-37,4.526526454073275e-35,5.457530402556756e-36,3.608156770188694e-32,0.13645322562316503,2.312651412411077e-32,1.0194018278488517e-33,1.1045430353839706e-17,7.773915317536864e-19
4.2000000000000004e-06,0.014489208189238536,0.0006406008200934804,2965.379235035514,101325.00000000068,0.2794601252907223,0.06610453248240446,0.0024937855860445394,0.000794288284898479,0.01714840383613007,0.22467539377143725,8.954550789841208e-07,1.0628022976405524e-07,9.36876538062386e-11,2.5908044589156295e-11,4.219539012544235e-11,3.869589705561396e-12,8.68049420200314e-11,2.290787741981825e-11,0.24590669256837427,0.02697348305111597,1.4391227785881538e-06,3.098711217552269e-08,2.973242158058413e-12,7.417003502038032e-14,1.9207042584824217e-13,6.661262172693507e-15,1.7260361985664842e-13,2.6977390306264278e-17,9.933555028194932e-18,2.0654268764963836e-21,9.104069859853893e-23,2.1785938834758237e-13,1.33559268784612e-13,8.781988783098199e-16,3.034503886516742e-33,9.37041583033555e-34,3.8351518198940488e-34,4.244827898025796e-34,8.634056839017224e-39,9.903430812464926e-31,4.013895586744053e-35,5.977911870212446e-39,2.1893015110187104e-34,2.903450416461456e-36,1.3683816166318965e-34,1.3859162073661107e-39,1.0367878569705758e-46,5.909537538026893e-40,5.0885127469946185e-37,4.47539560971833e-35,5.405706379592711e-36,3.6078047298248436e-32,0.13644082300452853,2.2218141006619903e-32,9.772206797006219e-34,1.0930853669864345e-17,7.67125847196024e-19
4.225e-06,0.014485249985460684,0.0006423267136766146,2964.3113368631857,101325.00000000006,0.2793997630785508,0.06623132363478329,0.0025019898405029654,0.0007969858288889676,0.017165919676550866,0.2246161420766521,8.96499826021098e-07,1.0618846151003347e-07,9.316626299388611e-11,2.5693002038781935e-11,4.175644928638219e-11,3.8301778412641e-12,8.581470950586182e-11,2.2599272463261153e-11,0.24587856009316728,0.026977887096374435,1.4371387858239792e-06,3.084541926814339e-08,2.952843562513033e-12,7.353658388647188e-14,1.9022896110615565e-13,6.558318232510283e-15,1.6984214000153262e-13,2.6515324704722382e-17,9.748483964412902e-18,2.0163652484082386e-21,8.894708540439832e-23,2.1509629437939283e-13,1.3196178545189244e-13,8.628482310471408e-16,3.0293312313591137e-33,9.322570381268818e-34,3.803905697460936e-34,4.201764280881333e-34,8.644307013794947e-39,9.902776083278629e-31,4.006329132527822e-35,5.951831369457205e-39,2.179836405731778e-34,2.871718566675743e-36,1.3519541077056482e-34,1.3742241829819112e-39,1.0254529325905493e-46,5.8249473774868175e-40,5.023509342863134e-37,4.4270810645268715e-35,5.3566624293390436e-36,3.6074669213920895e-32,0.13642895772543603,2.1383919182373592e-32,9.385684145170177e-34,1.0822626164286384e-17,7.574534454855287e-19
4.25e-06,0.014481461651889429,0.0006440530587515083,2963.2894871578815,101325.00000000058,0.2793420005759846,0.06635265452559166,0.0025098479899437537,0.0007995694489692292,0.01718263124436658,0.22455947569140214,8.974927092369548e-07,1.0610043137880788e-07,9.266965116324995e-11,2.5488898578142423e-11,4.1340874526421894e-11,3.7928795191273735e-12,8.487910892209709e-11,2.23082964095518e-11,0.24585163449378916,0.02698211054865216,1.4352593928600973e-06,3.071086884708504e-08,2.9335500901968146e-12,7.293778895796423e-14,1.8848976049454804e-13,6.46137811514886e-15,1.6724379320903844e-13,2.6081376339559886e-17,9.574931538324738e-18,1.9705946677369938e-21,8.699261618158453e-23,2.124877167456741e-13,1.3045277225758875e-13,8.484241222526762e-16,3.0243830013475437e-33,9.27702369478065e-34,3.7742633186759815e-34,4.1610018004060846e-34,8.654111707392837e-39,9.902148592263226e-31,3.999089649986438e-35,5.926970071621404e-39,2.170825964604893e-34,2.8418034421387633e-36,1.3364845983577869e-34,1.3631921627967298e-39,1.0147391276322796e-46,5.745231843722371e-40,4.962222093265259e-37,4.381394790935089e-35,5.3102154738502956e-36,3.6071427055771195e-32,0.13641760564370636,2.0616339786114621e-32,9.030788872286016e-34,1.0720329749498698e-17,7.483330904006234e-19
4.2750000000000006e-06,0.014477835693412352,0.0006457798361876811,2962.311635902615,101325.00000000003,0.2792867222895398,0.06646876770666678,0.002517374786427591,0.000802044013834716,0.01719857843258048,0.224505276975759,8.984366296922857e-07,1.0601599854491433e-07,9.219652106439653e-11,2.529509784181512e-11,4.094721524900778e-11,3.757562167942139e-12,8.399457726484291e-11,2.2033746224024357e-11,0.24582586252502597,0.026986160703264324,1.4334782887928848e-06,3.058304925639058e-08,2.915291432120018e-12,7.237141566444965e-14,1.8684608435511812e-13,6.370021691922524e-15,1.6479697290134881e-13,2.5673468544621334e-17,9.412023958186074e-18,1.927843489137427e-21,8.516591886490003e-23,2.1002340493153764e-13,1.2902642924905087e-13,8.348589137301676e-16,3.0196490699216253e-33,9.233652472469114e-34,3.7461296430237088e-34,4.122396226545086e-34,8.663490774369093e-39,9.901547247513549e-31,3.992162658607408e-35,5.903265540817151e-39,2.16224588953015e-34,2.8135655377920078e-36,1.3218985796695897e-34,1.3527683969156037e-39,1.004606229449415e-46,5.67004822923972e-40,4.9043832000788905e-37,4.33816518006225e-35,5.266199234298698e-36,3.606831473866128e-32,0.13640674378102485,1.9908800684160052e-32,8.704311655450312e-34,1.0623579771687535e-17,7.397270357473871e-19
4.3e-06,0.014474364963413587,0.000647507027678513,2961.3758299783144,101325.0,0.2792338181757683,0.06657989428034553,0.002524584339405213,0.0008044141787745227,0.01721379890472941,0.22445343407670804,8.993342991515855e-07,1.0593502578036719e-07,9.174565317164814e-11,2.511100725666634e-11,4.0574128700901715e-11,3.724103193052149e-12,8.31578318691873e-11,2.1774518243948306e-11,0.24580119342884446,0.02699004456668622,1.431789606087168e-06,3.0461577040142485e-08,2.898002657692949e-12,7.183540295789772e-14,1.8529173059371529e-13,6.283864402684302e-15,1.6249107307216954e-13,2.5289710904480193e-17,9.258967911065777e-18,1.8878671884964107e-21,8.345674671453395e-23,2.0769392883372904e-13,1.2767741548574206e-13,8.220909481068422e-16,3.015119814556094e-33,9.192341204667958e-34,3.719416422961882e-34,4.085814292295787e-34,8.672463133669772e-39,9.900970994474319e-31,3.98553433904863e-35,5.880658986514053e-39,2.154073391608089e-34,2.7868822262531166e-36,1.3081304647062586e-34,1.3429079119120985e-39,9.950171680048123e-47,5.599084758662288e-40,4.849751942093889e-37,4.29723503056485e-35,5.2244618592054024e-36,3.606532646853062e-32,0.136396350258483,1.9255480753609718e-32,8.403431311818445e-34,1.0532021814706329e-17,7.316006738516522e-19
4.325e-06,0.014471042648779875,0.0006492346157042528,2960.4802086456025,101324.99999999949,0.2791831833593413,0.06668625449974691,0.002531490145521616,0.0008066843955707101,0.017228328246293875,0.2244038405967573,9.001882553444392e-07,1.0585737974891979e-07,9.131590042959249e-11,2.4936074525534072e-11,4.022037053461779e-11,3.6923890883402245e-12,8.236584419333685e-11,2.1529598438350804e-11,0.24577757880408202,0.02699376886816384,1.4301878857654367e-06,3.0346094671641484e-08,2.881623728585424e-12,7.132784738385943e-14,1.838209838267077e-13,6.202553699354961e-15,1.6031638629262764e-13,2.4928379538329612e-17,9.115041831018043e-18,1.8504452014188068e-21,8.185584804310827e-23,2.0549060121543158e-13,1.2640080588656078e-13,8.100639258602703e-16,3.0107860842595704e-33,9.152981567540389e-34,3.694041606000015e-34,4.05113267703416e-34,8.681046818870652e-39,9.90041881612817e-31,3.97919150692628e-35,5.8590950249031987e-39,2.146287082144969e-34,2.7616445736933667e-36,1.2951219446684712e-34,1.3335711252034555e-39,9.859377260875341e-47,5.532056848206128e-40,4.798110591400623e-37,4.2584598877890846e-35,5.1848640437801566e-36,3.6062456726641214e-32,0.1363864042372108,1.8651233683684642e-32,8.125660935684754e-34,1.044532885204808e-17,7.239222240765452e-19
4.350000000000001e-06,0.014467862245778838,0.0006509625834976492,2959.622997248397,101324.99999999997,0.27913471784967875,0.06678805835762452,0.0025381051159995356,0.000808858921969416,0.017242200085665804,0.22435639529853316,9.010008733202548e-07,1.0578293081664527e-07,9.090618254561938e-11,2.476978415543177e-11,3.9884785863763294e-11,3.662314604169503e-12,8.161581584928937e-11,2.1298053620621607e-11,0.2457549724783961,0.026997340075862627,1.4286680415681262e-06,3.0236268336441566e-08,2.866099044924768e-12,7.084698828324115e-14,1.82428568717687e-13,6.125765836520974e-15,1.5826401246393915e-13,2.4587899557736567e-17,8.979588176789111e-18,1.8153781541163714e-21,8.035485218012491e-23,2.034054062949935e-13,1.251920518218734e-13,7.987263484707546e-16,3.0066391652899947e-33,9.115471840367322e-34,3.6699287851769405e-34,4.01823708806564e-34,8.689259020166456e-39,9.899889732855606e-31,3.973121571910469e-35,5.8385214158396085e-39,2.1388668621725025e-34,2.7377549239763307e-36,1.282820737626082e-34,1.324722813528929e-39,9.773362675685062e-47,5.468703941556471e-40,4.749261159096173e-37,4.2217066341976116e-35,5.147277480657858e-36,3.6059700254743405e-32,0.13637688586240623,1.8091497534204822e-32,7.868802212371043e-34,1.036319865592104e-17,7.166624531061295e-19
4.3750000000000005e-06,0.01446481755173929,0.0006526909150103405,2958.8025041433343,101325.00000000004,0.27908832627576596,0.06688550615081611,0.002544441607813923,0.0008109418318067026,0.017255446243924874,0.22431100178517935,9.017743804290749e-07,1.0571155348496856e-07,9.05154820947353e-11,2.461165473407264e-11,3.956630188695468e-11,3.633782054880823e-12,8.090515809117561e-11,2.1079023855090667e-11,0.24573333038992526,0.027000764401395656,1.427225333357166e-06,3.013178613246472e-08,2.851377065094291e-12,7.039119536355557e-14,1.8110961021165116e-13,6.053203115042341e-15,1.5632577970077067e-13,2.4266829914636143e-17,8.852006744541532e-18,1.782485492130627e-21,7.894617148509994e-23,2.0143093942412173e-13,1.240469473230284e-13,7.880310382295126e-16,3.002670759826298e-33,9.079716436130037e-34,3.6470067316782506e-34,3.987021462388124e-34,8.697116136739174e-39,9.899382801436839e-31,3.967312520829437e-35,5.8188888821413725e-39,2.131793835840971e-34,2.7151250561142638e-36,1.2711796241337206e-34,1.316331328968254e-39,9.691835130543801e-47,5.408786890900328e-40,4.703022813598493e-37,4.1868523152631673e-35,5.1115836233988395e-36,3.6057052039859784e-32,0.13636777620641596,1.757221843764433e-32,7.630906961304347e-34,1.0285351572402676e-17,7.097944328213076e-19
4.4e-06,0.014461902654245053,0.0006544195948803204,2958.0171179005383,101325.00000000001,0.2790439177758274,0.06697878869934445,0.0025505114294869236,0.0008129370173143015,0.01726809680094594,0.22426756838196293,9.025108638151477e-07,1.0564312643852796e-07,9.014284114004248e-11,2.44612366272194e-11,3.926392173050939e-11,3.6067007466493135e-12,8.023147511771262e-11,2.0871716251049752e-11,0.24571261054545063,0.02700404779862561,1.4258553422445354e-06,3.003235658383775e-08,2.8374099903004108e-12,6.995895837566792e-14,1.7985960072093468e-13,5.9845916118191694e-15,1.544941795815347e-13,2.3963850894189486e-17,8.731749143463949e-18,1.7516034907290225e-21,7.762291945341773e-23,1.9956035688920446e-13,1.2296160157414553e-13,7.779347409322506e-16,2.9988729733679205e-33,9.045625547120382e-34,3.6252090326304093e-34,3.95738734111912e-34,8.704633790817853e-39,9.898897115833697e-31,3.961752900667575e-35,5.800150955272129e-39,2.1250502410518727e-34,2.6936748230004886e-36,1.2601557326911607e-34,1.3083680340065121e-39,9.614523499881248e-47,5.3520858794199866e-40,4.659229905668335e-37,4.153783231302398e-35,5.077672744758455e-36,3.605450730942147e-32,0.13635905724720385,1.7089786705284253e-32,7.410244991210763e-34,1.0211528730327465e-17,7.032933435180782e-19
4.425e-06,0.014459111901266614,0.0006561486084027769,2957.265299161542,101325.00000000001,0.27900140555984176,0.06706808828004635,0.002556325894463852,0.0008148482067616258,0.017280180259832276,0.224226007670412,9.0321228355048e-07,1.0557753213518527e-07,8.978735499411041e-11,2.4318108665203287e-11,3.8976716443643014e-11,3.5809862320349634e-12,7.959254323162714e-11,2.067539762394906e-11,0.24569277280768634,0.027007195999244105,1.4245539384418125e-06,2.993770655993482e-08,2.8241533671594096e-12,6.954887428627245e-14,1.786743606254139e-13,5.9196785380237846e-15,1.527622930056092e-13,2.367775031928549e-17,8.61831284642566e-18,1.722583247530812e-21,7.637882742944617e-23,1.9778731531905556e-13,1.2193240483899847e-13,7.683976839221481e-16,2.995238268083052e-33,9.013114542882357e-34,3.604473581191199e-34,3.9292430568568785e-34,8.711826902136227e-39,9.898431804044339e-31,3.9564317623258415e-35,5.7822636869646004e-39,2.1186193357086735e-34,2.6733309180034615e-36,1.2497098898388466e-34,1.3008068036593494e-39,9.541176003373994e-47,5.29839814156977e-40,4.617729990792921e-37,4.1223938735763783e-35,5.0454428679536046e-36,3.605206150651953e-32,0.1363507117797686,1.6640978001740991e-32,7.2052747874543655e-34,1.0141489774671782e-17,6.9713624089562625e-19
4.450000000000001e-06,0.014456439902924372,0.0006578779415005436,2956.545580641639,101325.00000000151,0.27896070685742524,0.06715357872344596,0.002561895823182301,0.0008166789652208276,0.017291723611041556,0.2241862364123092,9.038804807169943e-07,1.05514657252628e-07,8.944817079207203e-11,2.41818767350093e-11,3.870382087169637e-11,3.5565599264071444e-12,7.898629921102325e-11,2.048939006967872e-11,0.24567377888703218,0.027010214497222244,1.4233172657280825e-06,2.984758029595727e-08,2.8115658710168636e-12,6.915964015784451e-14,1.775500150824524e-13,5.858230630554778e-15,1.511237437262485e-13,2.3407414549004622e-17,8.511237185373991e-18,1.6952892432379304e-21,7.520818526440781e-23,1.9610593669627982e-13,1.2095600921341008e-13,7.59383290406844e-16,2.9917594657503128e-33,8.98210376496498e-34,3.5847423345518716e-34,3.902503294504064e-34,8.718709699459528e-39,9.897986028620738e-31,3.9513386640957426e-35,5.7651855811169885e-39,2.1124853563146684e-34,2.654026070638605e-36,1.2398061886086792e-34,1.2936236994961329e-39,9.47155891170268e-47,5.247536558549855e-40,4.578382571157668e-37,4.092586315129906e-35,5.0147991753635915e-36,3.604971028772911e-32,0.13634272340423717,1.622290781782722e-32,7.014620680572285e-34,1.007501162785455e-17,6.913019161538005e-19
